127.0.0.1 - - [25/Sep/2018:18:56:48 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:56:49 +0800] "GET /work/sys/login/login.jsp HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:56:49 +0800] "GET /work/sys/css/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:56:49 +0800] "GET /work/sys/img/a3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:57:14 +0800] "POST /work/LoginServlet?flag=login HTTP/1.1" 500 1575
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:23 +0800] "GET /work/sys/login/login.jsp HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:26 +0800] "POST /work/LoginServlet?flag=login HTTP/1.1" 500 1575
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "POST /work/LoginServlet?flag=login HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /css/css/bootstrap.min.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/main/touxiang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/MusicServlet?flag=queryByPage HTTP/1.1" 200 23269
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/css/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/img/04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/img/06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/img/05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=4 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=8 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=2 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=5 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=3 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=10 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=7 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=1 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=6 HTTP/1.1" 500 4977
0:0:0:0:0:0:0:1 - - [25/Sep/2018:18:59:34 +0800] "GET /work/sys/music/show.jsp?photo_no=9 HTTP/1.1" 500 4977
